arm,seed,fidelity_bin_center,sampled_prob,haar_prob
random,0,0.006666666666666667,4.999999999999813e-16,0.0896818656001674
random,0,0.02,4.999999999999813e-16,0.0826977533439561
random,0,0.03333333333333333,4.999999999999813e-16,0.0761729029474867
random,0,0.04666666666666667,4.999999999999813e-16,0.07008282938803033
random,0,0.06,4.999999999999813e-16,0.06440404003230496
random,0,0.07333333333333333,4.999999999999813e-16,0.05911400745116517
random,0,0.08666666666666667,4.999999999999813e-16,0.05419114261187656
random,0,0.1,4.999999999999813e-16,0.049614768447955204
random,0,0.11333333333333334,4.999999999999813e-16,0.04536509380659042
random,0,0.12666666666666668,4.999999999999813e-16,0.04142318777363105
random,0,0.14,4.999999999999813e-16,0.0377709543761521
random,0,0.15333333333333332,4.999999999999813e-16,0.03439110766259183
random,0,0.16666666666666669,4.999999999999813e-16,0.03126714716046602
random,0,0.18,4.999999999999813e-16,0.028383333711650912
random,0,0.19333333333333336,4.999999999999813e-16,0.02572466568524394
random,0,0.20666666666666667,4.999999999999813e-16,0.02327685556799647
random,0,0.22000000000000003,4.999999999999813e-16,0.021026306932319442
random,0,0.23333333333333334,4.999999999999813e-16,0.018960091781865612
random,0,0.2466666666666667,4.999999999999813e-16,0.017065928274681567
random,0,0.26,4.999999999999813e-16,0.01533215882393547
random,0,0.2733333333333333,4.999999999999813e-16,0.013747728576220314
random,0,0.2866666666666667,4.999999999999813e-16,0.012302164267425485
random,0,0.30000000000000004,4.999999999999813e-16,0.010985553456188507
random,0,0.31333333333333335,4.999999999999813e-16,0.00978852413491541
random,0,0.32666666666666666,4.999999999999813e-16,0.008702224718376863
random,0,0.34,4.999999999999813e-16,0.007718304409878458
random,0,0.3533333333333334,4.999999999999813e-16,0.006828893945003178
random,0,0.3666666666666667,4.999999999999813e-16,0.006026586712928317
random,0,0.38,4.999999999999813e-16,0.00530442025531679
random,0,0.39333333333333337,4.999999999999813e-16,0.004655858142780058
random,0,0.40666666666666673,4.999999999999813e-16,0.004074772228917227
random,0,0.42000000000000004,4.999999999999813e-16,0.0035554252819258057
random,0,0.43333333333333335,4.999999999999813e-16,0.0030924539937870277
random,0,0.44666666666666666,4.999999999999813e-16,0.0026808523670250987
random,0,0.46,4.999999999999813e-16,0.002315955479039023
random,0,0.4733333333333334,4.999999999999813e-16,0.0019934236240094195
random,0,0.4866666666666667,4.999999999999813e-16,0.0017092268323779809
random,0,0.5,4.999999999999813e-16,0.0014596297679010505
random,0,0.5133333333333334,4.999999999999813e-16,0.0012411770022768918
random,0,0.5266666666666666,4.999999999999813e-16,0.0010506786673463696
random,0,0.54,4.999999999999813e-16,0.000885196484867517
random,0,0.5533333333333335,4.999999999999813e-16,0.0007420301738636369
random,0,0.5666666666666667,4.999999999999813e-16,0.0006187042355451783
random,0,0.5800000000000001,4.999999999999813e-16,0.0005129551158051394
random,0,0.5933333333333334,4.999999999999813e-16,0.00042271874528824403
random,0,0.6066666666666667,4.999999999999813e-16,0.0003461184570337163
random,0,0.6200000000000001,4.999999999999813e-16,0.0002814532816917735
random,0,0.6333333333333333,4.999999999999813e-16,0.00022718662031371708
random,0,0.6466666666666667,4.999999999999813e-16,0.0001819352947157343
random,0,0.66,4.999999999999813e-16,0.00014445897541634644
random,0,0.6733333333333333,4.999999999999813e-16,0.00011364998714751225
random,0,0.6866666666666668,4.999999999999813e-16,8.85234919394149e-05
random,0,0.7,4.999999999999813e-16,6.820804977888504e-05
random,0,0.7133333333333334,4.999999999999813e-16,5.193655684150689e-05
random,0,0.7266666666666668,4.999999999999813e-16,3.9037561297375724e-05
random,0,0.74,4.999999999999813e-16,2.8926956690526414e-05
random,0,0.7533333333333334,4.999999999999813e-16,2.1100052892015174e-05
random,0,0.7666666666666667,4.999999999999813e-16,1.5124024626671043e-05
random,0,0.78,4.999999999999813e-16,1.0630737573506352e-05
random,0,0.7933333333333334,4.999999999999813e-16,7.309952039792021e-06
random,0,0.8066666666666666,4.999999999999813e-16,4.902904208792889e-06
random,0,0.8200000000000001,4.999999999999813e-16,3.19626496116761e-06
random,0,0.8333333333333335,4.999999999999813e-16,2.0164762700301313e-06
random,0,0.8466666666666667,4.999999999999813e-16,1.224465169674216e-06
random,0,0.8600000000000001,4.999999999999813e-16,7.107352979600164e-07
random,0,0.8733333333333333,4.999999999999813e-16,3.9083601236360616e-07
random,0,0.8866666666666667,4.999999999999813e-16,2.0120907968888648e-07
random,0,0.9000000000000001,4.999999999999813e-16,9.54129394420693e-08
random,0,0.9133333333333333,4.999999999999813e-16,4.072454086873209e-08
random,0,0.9266666666666667,4.999999999999813e-16,1.511875365339244e-08
random,0,0.9400000000000001,4.999999999999813e-16,4.625352281660107e-09
random,0,0.9533333333333334,4.999999999999813e-16,1.0635740649281284e-09
random,0,0.9666666666666668,4.999999999999813e-16,1.5425082761759644e-10
random,0,0.98,4.999999999999813e-16,9.514256973013476e-12
random,0,0.9933333333333334,0.999999999999963,9.999999999990747e-13
llm_open_loop,0,0.006666666666666667,0.024499999999999588,0.0896818656001674
llm_open_loop,0,0.02,0.01849999999999981,0.0826977533439561
llm_open_loop,0,0.03333333333333333,0.009500000000000145,0.0761729029474867
llm_open_loop,0,0.04666666666666667,0.013000000000000015,0.07008282938803033
llm_open_loop,0,0.06,0.016499999999999886,0.06440404003230496
llm_open_loop,0,0.07333333333333333,0.012500000000000034,0.05911400745116517
llm_open_loop,0,0.08666666666666667,0.015499999999999922,0.05419114261187656
llm_open_loop,0,0.1,0.014499999999999959,0.049614768447955204
llm_open_loop,0,0.11333333333333334,0.010000000000000127,0.04536509380659042
llm_open_loop,0,0.12666666666666668,0.008000000000000201,0.04142318777363105
llm_open_loop,0,0.14,0.006500000000000257,0.0377709543761521
llm_open_loop,0,0.15333333333333332,0.006500000000000257,0.03439110766259183
llm_open_loop,0,0.16666666666666669,0.009500000000000145,0.03126714716046602
llm_open_loop,0,0.18,0.008500000000000183,0.028383333711650912
llm_open_loop,0,0.19333333333333336,0.012500000000000034,0.02572466568524394
llm_open_loop,0,0.20666666666666667,0.013000000000000015,0.02327685556799647
llm_open_loop,0,0.22000000000000003,0.012000000000000052,0.021026306932319442
llm_open_loop,0,0.23333333333333334,0.011500000000000071,0.018960091781865612
llm_open_loop,0,0.2466666666666667,0.01100000000000009,0.017065928274681567
llm_open_loop,0,0.26,0.006500000000000257,0.01533215882393547
llm_open_loop,0,0.2733333333333333,0.010500000000000108,0.013747728576220314
llm_open_loop,0,0.2866666666666667,0.006000000000000276,0.012302164267425485
llm_open_loop,0,0.30000000000000004,0.006500000000000257,0.010985553456188507
llm_open_loop,0,0.31333333333333335,0.011500000000000071,0.00978852413491541
llm_open_loop,0,0.32666666666666666,0.006500000000000257,0.008702224718376863
llm_open_loop,0,0.34,0.0040000000000003505,0.007718304409878458
llm_open_loop,0,0.3533333333333334,0.008500000000000183,0.006828893945003178
llm_open_loop,0,0.3666666666666667,0.008000000000000201,0.006026586712928317
llm_open_loop,0,0.38,0.006500000000000257,0.00530442025531679
llm_open_loop,0,0.39333333333333337,0.006500000000000257,0.004655858142780058
llm_open_loop,0,0.40666666666666673,0.010000000000000127,0.004074772228917227
llm_open_loop,0,0.42000000000000004,0.0035000000000003696,0.0035554252819258057
llm_open_loop,0,0.43333333333333335,0.013000000000000015,0.0030924539937870277
llm_open_loop,0,0.44666666666666666,0.008000000000000201,0.0026808523670250987
llm_open_loop,0,0.46,0.009000000000000164,0.002315955479039023
llm_open_loop,0,0.4733333333333334,0.009500000000000145,0.0019934236240094195
llm_open_loop,0,0.4866666666666667,0.009500000000000145,0.0017092268323779809
llm_open_loop,0,0.5,0.009000000000000164,0.0014596297679010505
llm_open_loop,0,0.5133333333333334,0.010500000000000108,0.0012411770022768918
llm_open_loop,0,0.5266666666666666,0.00750000000000022,0.0010506786673463696
llm_open_loop,0,0.54,0.01100000000000009,0.000885196484867517
llm_open_loop,0,0.5533333333333335,0.00750000000000022,0.0007420301738636369
llm_open_loop,0,0.5666666666666667,0.012500000000000034,0.0006187042355451783
llm_open_loop,0,0.5800000000000001,0.006500000000000257,0.0005129551158051394
llm_open_loop,0,0.5933333333333334,0.008000000000000201,0.00042271874528824403
llm_open_loop,0,0.6066666666666667,0.008500000000000183,0.0003461184570337163
llm_open_loop,0,0.6200000000000001,0.010000000000000127,0.0002814532816917735
llm_open_loop,0,0.6333333333333333,0.011500000000000071,0.00022718662031371708
llm_open_loop,0,0.6466666666666667,0.01100000000000009,0.0001819352947157343
llm_open_loop,0,0.66,0.00750000000000022,0.00014445897541634644
llm_open_loop,0,0.6733333333333333,0.008500000000000183,0.00011364998714751225
llm_open_loop,0,0.6866666666666668,0.008500000000000183,8.85234919394149e-05
llm_open_loop,0,0.7,0.009500000000000145,6.820804977888504e-05
llm_open_loop,0,0.7133333333333334,0.010500000000000108,5.193655684150689e-05
llm_open_loop,0,0.7266666666666668,0.005000000000000313,3.9037561297375724e-05
llm_open_loop,0,0.74,0.01100000000000009,2.8926956690526414e-05
llm_open_loop,0,0.7533333333333334,0.012000000000000052,2.1100052892015174e-05
